hscode,statcode,classifyCnnm,hsname,ciqname
0101210010,0101210010999,种马,改良种用濒危野马,改良种用濒危野马
0101210090,0101210090999,种马,其他改良种用马,其他改良种用马
0101290010,0101290010999,野马,非改良种用濒危野马,非改良种用濒危野马
0101290090,0101290090101,屠宰马,非改良种用其他马,非改良种用其他马(屠宰马)
0101290090,0101290090102,赛马,非改良种用其他马,非改良种用其他马(赛马)
0101290090,0101290090103,其他用途马,非改良种用其他马,非改良种用其他马(其他用途马)
0101301010,0101301010999,野驴,改良种用的濒危野驴,改良种用的濒危野驴
0101301090,0101301090999,驴,改良种用的其他驴,改良种用的其他驴
0101309010,0101309010999,野驴,非改良种用濒危野驴,非改良种用濒危野驴
0101309090,0101309090999,驴,非改良种用其他驴,非改良种用其他驴
0101900000,0101900000999,骡,骡,骡
0102210000,0102210000101,种牛,改良种用家牛,改良种用家牛(种牛)
0102210000,0102210000102,屠宰牛,改良种用家牛,改良种用家牛(屠宰牛)
0102210000,0102210000103,其他用途牛,改良种用家牛,改良种用家牛(其他用途牛)
0102290000,0102290000101,种牛,非改良种用家牛,非改良种用家牛(种牛)
0102290000,0102290000102,屠宰牛,非改良种用家牛,非改良种用家牛(屠宰牛)
0102290000,0102290000103,其他用途牛,非改良种用家牛,非改良种用家牛(其他用途牛)
0102310010,0102310010999,水牛,改良种用濒危水牛,改良种用濒危水牛
0102310090,0102310090999,水牛,改良种用其他水牛,改良种用其他水牛
0102390010,0102390010999,水牛,非改良种用濒危水牛,非改良种用濒危水牛
0102390090,0102390090999,水牛,非改良种用其他水牛,非改良种用其他水牛
0102901010,0102901010999,野牛,改良种用濒危野牛,改良种用濒危野牛
0102901090,0102901090101,种牛,其他改良种用牛,其他改良种用牛(种牛)
0102901090,0102901090102,屠宰牛,其他改良种用牛,其他改良种用牛(屠宰牛)
0102901090,0102901090103,其他用途牛,其他改良种用牛,其他改良种用牛(其他用途牛)
0102901090,0102901090104,水牛,其他改良种用牛,其他改良种用牛(水牛)
0102901090,0102901090105,牦牛,其他改良种用牛,其他改良种用牛(牦牛)
0102909010,0102909010999,野牛,非改良种用濒危野牛,非改良种用濒危野牛
0102909090,0102909090101,种牛,非改良种用其他牛,非改良种用其他牛(种牛)
0102909090,0102909090102,屠宰牛,非改良种用其他牛,非改良种用其他牛(屠宰牛)
0102909090,0102909090103,其他用途牛,非改良种用其他牛,非改良种用其他牛(其他用途牛)
0102909090,0102909090104,水牛,非改良种用其他牛,非改良种用其他牛(水牛)
0102909090,0102909090105,牦牛,非改良种用其他牛,非改良种用其他牛(牦牛)
0103100010,0103100010999,野猪,改良种用的鹿豚、姬猪,改良种用的鹿豚、姬猪
0103100090,0103100090999,种猪,其他改良种用的猪,其他改良种用的猪
0103911010,0103911010999,野猪,重量在10千克以下的其他野猪(改良种用的除外),重量在10千克以下的其他野猪(改良种用的除外)
