type,codeValue,codeName
CUS_LEVYMODE,1,照章征税
CUS_LEVYMODE,2,折半征税
CUS_LEVYMODE,3,全免
CUS_LEVYMODE,4,特案
CUS_LEVYMODE,5,征免性质
CUS_LEVYMODE,6,保证金
CUS_LEVYMODE,7,保函
CUS_LEVYMODE,8,折半补税
CUS_LEVYMODE,9,全额退税
CUS_CURR,110,港币
CUS_CURR,112,印度尼西亚卢比
CUS_CURR,116,日本元
CUS_CURR,121,澳门元
CUS_CURR,122,马来西亚林吉特
CUS_CURR,129,菲律宾比索
CUS_CURR,132,新加坡元
CUS_CURR,133,韩国圆
CUS_CURR,136,泰国铢
CUS_CURR,142,人民币
CUS_CURR,143,新台币
CUS_CURR,300,欧元
CUS_CURR,302,丹麦克朗
CUS_CURR,303,英镑
CUS_CURR,326,挪威克朗
CUS_CURR,330,瑞典克朗
CUS_CURR,331,瑞士法郎
CUS_CURR,344,俄罗斯卢布
CUS_CURR,501,加拿大元
CUS_CURR,502,美元
CUS_CURR,601,澳大利亚元
CUS_CURR,609,新西兰元
DEC_ATT_TYPE_CODE,00000001,发票
DEC_ATT_TYPE_CODE,00000002,装箱单
DEC_ATT_TYPE_CODE,00000003,提运单
DEC_ATT_TYPE_CODE,00000004,合同
DEC_ATT_TYPE_CODE,00000005,其他1
DEC_ATT_TYPE_CODE,00000006,其他2
DEC_ATT_TYPE_CODE,00000007,其他3
DEC_ATT_TYPE_CODE,00000008,纸质代理报关委托协议扫描件
DEC_ATT_TYPE_CODE,00000009,原产地证据文件
DEC_ATT_TYPE_CODE,10000001,电子代理报关委托协议编号
DEC_ATT_TYPE_CODE,10000002,减免税货物税款担保证明
DEC_ATT_TYPE_CODE,10000003,减免税货物税款担保延期证明
CUS_COUNTRY,101,阿富汗
CUS_COUNTRY,102,巴林
CUS_COUNTRY,103,孟加拉国
CUS_COUNTRY,104,不丹
CUS_COUNTRY,105,文莱
CUS_COUNTRY,106,缅甸
CUS_COUNTRY,107,柬埔寨
CUS_COUNTRY,108,塞浦路斯
CUS_COUNTRY,109,朝鲜
CUS_COUNTRY,110,香港
CUS_COUNTRY,111,印度
CUS_COUNTRY,112,印度尼西亚
CUS_COUNTRY,113,伊朗
CUS_COUNTRY,114,伊拉克
CUS_COUNTRY,115,以色列
CUS_COUNTRY,116,日本
CUS_COUNTRY,117,约旦
CUS_COUNTRY,118,科威特
CUS_COUNTRY,119,老挝
CUS_COUNTRY,120,黎巴嫩
CUS_COUNTRY,121,澳门
CUS_COUNTRY,122,马来西亚
CUS_COUNTRY,123,马尔代夫
CUS_COUNTRY,124,蒙古
CUS_COUNTRY,125,尼泊尔联邦民主共和国
CUS_COUNTRY,126,阿曼
CUS_COUNTRY,127,巴基斯坦
CUS_COUNTRY,128,巴勒斯坦
CUS_COUNTRY,129,菲律宾
CUS_COUNTRY,130,卡塔尔
CUS_COUNTRY,131,沙特阿拉伯
CUS_COUNTRY,132,新加坡
CUS_COUNTRY,133,韩国
CUS_COUNTRY,134,斯里兰卡
CUS_COUNTRY,135,叙利亚
CUS_COUNTRY,136,泰国
CUS_COUNTRY,137,土耳其
CUS_COUNTRY,138,阿联酋
CUS_COUNTRY,139,也门
CUS_COUNTRY,141,越南
CUS_COUNTRY,142,中国
CUS_COUNTRY,143,台澎金马关税区
CUS_COUNTRY,144,东帝汶
CUS_COUNTRY,145,哈萨克斯坦
CUS_COUNTRY,146,吉尔吉斯斯坦
CUS_COUNTRY,147,塔吉克斯坦
CUS_COUNTRY,148,土库曼斯坦
CUS_COUNTRY,149,乌兹别克斯坦
CUS_COUNTRY,199,亚洲其他国家(地区)
CUS_COUNTRY,201,阿尔及利亚
CUS_COUNTRY,202,安哥拉
CUS_COUNTRY,203,贝宁
CUS_COUNTRY,204,博茨瓦纳
CUS_COUNTRY,205,布隆迪
CUS_COUNTRY,206,喀麦隆
CUS_COUNTRY,207,加那利群岛
CUS_COUNTRY,208,佛得角
CUS_COUNTRY,209,中非
CUS_COUNTRY,210,塞卜泰(休达)
CUS_COUNTRY,211,乍得
CUS_COUNTRY,212,科摩罗
CUS_COUNTRY,213,刚果(布)
CUS_COUNTRY,214,吉布提
CUS_COUNTRY,215,埃及
CUS_COUNTRY,216,赤道几内亚
CUS_COUNTRY,217,埃塞俄比亚
CUS_COUNTRY,218,加蓬
