codeTs,snum,textName,requireCheck,decFacCode,decFacName,decFacType,decFacContent,ieFlag,gname,extendFiled
0101,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
0101,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
0101,2,是否改良种用,1,null,null,null,null,null,null,null
0101,3,品种,1,null,null,null,null,null,null,null
0101,4,GTIN,0,null,null,null,null,null,null,null
0101,5,CAS,0,null,null,null,null,null,null,null
0101,6,其他,0,,,,,,,
0102,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
0102,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
0102,2,是否改良种用,1,null,null,null,null,null,null,null
0102,3,GTIN,0,null,null,null,null,null,null,null
0102,4,CAS,0,null,null,null,null,null,null,null
0102,5,其他,0,,,,,,,
0102,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
0102,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
0102,2,是否改良种用,1,null,null,null,null,null,null,null
0102,3,GTIN,0,null,null,null,null,null,null,null
0102,4,CAS,0,null,null,null,null,null,null,null
0102,5,其他,0,,,,,,,
01031,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
01031,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
01031,2,是否改良种用,1,null,null,null,null,null,null,null
01031,3,GTIN,0,null,null,null,null,null,null,null
01031,4,CAS,0,null,null,null,null,null,null,null
01031,5,其他,0,,,,,,,
01031,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
01031,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
01031,2,是否改良种用,1,null,null,null,null,null,null,null
01031,3,GTIN,0,null,null,null,null,null,null,null
01031,4,CAS,0,null,null,null,null,null,null,null
01031,5,其他,0,,,,,,,
01039,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
01039,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
01039,2,个体重量,1,null,null,null,null,null,null,null
01039,3,GTIN,0,null,null,null,null,null,null,null
01039,4,CAS,0,null,null,null,null,null,null,null
01039,5,其他,0,,,,,,,
0104,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
0104,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
0104,2,是否改良种用,1,null,null,null,null,null,null,null
0104,3,GTIN,0,null,null,null,null,null,null,null
0104,4,CAS,0,null,null,null,null,null,null,null
0104,5,其他,0,,,,,,,
0104,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
