type,codeValue,codeName,cusCode,gbCode,gbName,ciqCode
CUS_MAPPING_CURRENCY_CODE_V,AUD,澳大利亚元,601,AUD,澳大利亚元,036
CUS_MAPPING_CURRENCY_CODE_V,CAD,加拿大元,501,CAD,加拿大元,124
CUS_MAPPING_CURRENCY_CODE_V,CHF,瑞士法郎,331,CHF,瑞士法郎,756
CUS_MAPPING_CURRENCY_CODE_V,CNY,人民币,142,CNY,人民币,156
CUS_MAPPING_CURRENCY_CODE_V,DKK,丹麦克朗,302,DKK,丹麦克朗,208
CUS_MAPPING_CURRENCY_CODE_V,EUR,欧元,300,EUR,欧元,910
CUS_MAPPING_CURRENCY_CODE_V,GBP,英镑,303,GBP,英镑,826
CUS_MAPPING_CURRENCY_CODE_V,HKD,港币,110,HKD,港币,344
CUS_MAPPING_CURRENCY_CODE_V,IDR,印度尼西亚卢比,112,IDR,印度尼西亚卢比,360
CUS_MAPPING_CURRENCY_CODE_V,JPY,日本元,116,JPY,日本元,392
CUS_MAPPING_CURRENCY_CODE_V,KRW,韩国圆,133,KRW,韩国圆,410
CUS_MAPPING_CURRENCY_CODE_V,MOP,澳门元,121,MOP,澳门元,446
CUS_MAPPING_CURRENCY_CODE_V,MYR,马来西亚林吉特,122,MYR,马来西亚林吉特,458
CUS_MAPPING_CURRENCY_CODE_V,NOK,挪威克朗,326,NOK,挪威克朗,578
CUS_MAPPING_CURRENCY_CODE_V,NZD,新西兰元,609,NZD,新西兰元,554
CUS_MAPPING_CURRENCY_CODE_V,PHP,菲律宾比索,129,PHP,菲律宾比索,608
CUS_MAPPING_CURRENCY_CODE_V,RUB,俄罗斯卢布,344,RUB,俄罗斯卢布,643
CUS_MAPPING_CURRENCY_CODE_V,SEK,瑞典克朗,330,SEK,瑞典克朗,752
CUS_MAPPING_CURRENCY_CODE_V,SGD,新加坡元,132,SGD,新加坡元,702
CUS_MAPPING_CURRENCY_CODE_V,THB,泰国铢,136,THB,泰国铢,764
CUS_MAPPING_CURRENCY_CODE_V,TWD,新台币,143,TWD,新台币,158
CUS_MAPPING_CURRENCY_CODE_V,USD,美元,502,USD,美元,840
CUS_MAPPING_COUNTRY_CODE_V,ABW,阿鲁巴,403,ABW,阿鲁巴,533
