codeTs,controlMark,unitFlag,ciqWtMeasUnit,ciqWtMeasUnitName,gname,unit1,dangerFlag,unit1Name,unit2,outDutyTypeFlag,inspMonitorCond,ciqQtyMeasUnitName,ciqQtyMeasUnit,noteS,unit2Name
0101210010,AFEB,1,035,千克,改良种用濒危野马,035,N,千克,009,0,P/Q,null,null,null,头
0101210090,AB,1,035,千克,其他改良种用马,035,N,千克,009,0,P/Q,null,null,null,头
0101290010,AFEB,1,035,千克,非改良种用濒危野马,035,N,千克,009,0,P/Q,null,null,null,头
0101290090,AB,1,035,千克,非改良种用其他马,035,N,千克,009,0,P/Q,null,null,null,头
0101301010,AFEB,1,035,千克,改良种用的濒危野驴,035,N,千克,009,0,P/Q,null,null,null,头
0101301090,AB,1,035,千克,改良种用的其他驴,035,N,千克,009,0,P/Q,null,null,null,头
0101309010,AFEB,1,035,千克,非改良种用濒危野驴,035,N,千克,009,0,P/Q,null,null,null,头
0101309090,AB,1,035,千克,非改良种用其他驴,035,N,千克,009,0,P/Q,null,null,null,头
0101900000,AB,1,035,千克,骡,035,N,千克,009,0,P/Q,null,null,null,头
0102210000,AB,1,035,千克,改良种用家牛,035,N,千克,009,0,P/Q,null,null,null,头
0102290000,4xAB,1,035,千克,非改良种用家牛,035,N,千克,009,0,P/Q,null,null,null,头
0102310010,ABEF,1,035,千克,改良种用濒危水牛,035,N,千克,009,0,P/Q,null,null,null,头
0102310090,AB,1,035,千克,改良种用其他水牛,035,N,千克,009,0,P/Q,null,null,null,头
0102390010,4ABEFx,1,035,千克,非改良种用濒危水牛,035,N,千克,009,0,P/Q,null,null,null,头
0102390090,4ABx,1,035,千克,非改良种用其他水牛,035,N,千克,009,0,P/Q,null,null,null,头
0102901010,AFEB,1,035,千克,改良种用濒危野牛,035,N,千克,009,0,P/Q,null,null,null,头
0102901090,AB,1,035,千克,其他改良种用牛,035,N,千克,009,0,P/Q,null,null,null,头
0102909010,4xABFE,1,035,千克,非改良种用濒危野牛,035,N,千克,009,0,P/Q,null,null,null,头
0102909090,4xAB,1,035,千克,非改良种用其他牛,035,N,千克,009,0,P/Q,null,null,null,头
0103100010,AFEB,1,035,千克,改良种用的鹿豚、姬猪,035,N,千克,009,0,P/Q,null,null,null,头
0103100090,AB,1,035,千克,其他改良种用的猪,035,N,千克,009,0,P/Q,null,null,null,头
0103911010,4xABFE,1,035,千克,重量在10千克以下的其他野猪,035,N,千克,009,0,P.R/Q,null,null,改良种用的除外,头
0103911090,4xAB,1,035,千克,重量在10千克以下的其他猪,035,N,千克,009,0,P.R/Q,null,null,改良种用的除外,头
0103912010,4xABFE,1,035,千克,10≤重量<50千克的其他野猪,035,N,千克,009,0,P.R/Q,null,null,改良种用的除外,头
0103912090,4xAB,1,035,千克,10≤重量<50千克的其他猪,035,N,千克,009,0,P.R/Q,null,null,改良种用的除外,头
0103920010,4xABFE,1,035,千克,重量在50千克及以上的其他野猪,035,N,千克,009,0,P.R/Q,null,null,改良种用的除外,头
